Day,Results,Reach,Impressions,Cost (USD),Clicks (all),Landing page views,Adds to cart,Website adds to cart,Checkouts initiated,Website checkouts initiated,Purchases,Website purchases,Dummy ID
2024-06-26,2,27380,35981,451.73548548045585,104,3,0,0,0,0,0,0,4
2024-06-25,10,307626,464124,5341.1158515908455,1169,30,8,8,1,1,0,0,4
2024-06-24,14,258599,377758,5506.393027280984,999,39,16,15,3,3,0,0,4
2024-06-23,18,184086,327027,5606.135800453384,920,23,11,11,4,4,3,3,4
2024-06-22,18,160406,275371,5139.772863118274,825,33,11,10,6,6,1,1,4
2024-06-21,19,181632,292387,5370.4407387843785,771,20,11,11,3,3,0,0,4
2024-06-20,13,199935,301217,5233.942424089815,870,22,6,6,2,2,1,1,4
2024-06-19,14,204433,313606,5270.63657953056,812,17,5,4,2,2,1,1,4
2024-06-18,10,208420,334428,4959.526957979716,971,27,6,6,2,2,1,1,4
2024-06-17,23,253298,386708,5869.408603658586,1087,28,5,5,0,0,0,0,4
2024-06-16,19,253796,395999,6012.387040201118,1027,36,9,9,7,7,1,1,4
2024-06-15,16,227000,361121,5219.191976414743,1067,25,11,10,1,1,2,0,4
2024-06-14,11,231576,381062,5304.2114233139255,1017,13,5,5,5,5,1,1,4
2024-06-13,18,208184,363382,6298.59439525008,1005,31,21,18,10,10,2,2,4
2024-06-12,18,292950,554493,9354.19355420166,1599,39,17,17,3,3,0,0,4
2024-05-31,0,8945,14900,343.555066857273,45,1,1,1,0,0,0,0,4
2024-05-30,23,190727,321963,6069.021422398474,827,22,2,2,0,0,0,0,4
2024-05-29,30,211164,384760,7106.164934287604,1039,41,7,7,2,2,0,0,4
2024-05-28,35,196407,360802,7143.180423789874,978,33,11,11,4,4,1,1,4
2024-05-27,42,186659,339081,7239.837285612318,926,31,8,8,3,3,0,0,4
2024-05-26,30,200064,361352,7982.133114558372,1119,30,9,8,4,4,0,0,4
2024-05-25,37,211308,391474,9230.66417449091,1111,29,13,13,7,7,1,1,4
2024-05-24,20,237120,448163,9099.409752806814,1206,14,5,5,3,3,0,0,4
2024-05-23,26,234799,475329,8964.242228792613,1345,16,14,14,1,1,1,1,4
2024-05-22,35,179584,352900,7299.723231036048,958,19,5,5,3,3,3,3,4
2024-05-21,37,123817,242629,5654.187954512555,696,21,4,3,1,1,2,1,4
2024-05-20,35,121324,237305,5605.127401034131,716,24,10,8,1,1,1,1,4
2024-05-19,34,124635,239077,5663.234933558332,789,22,12,11,1,1,0,0,4
2024-05-18,31,122203,252072,5626.282809373659,775,19,3,3,0,0,0,0,4
2024-05-17,8,49794,76511,1678.0602541591388,231,8,1,1,0,0,0,0,4
2024-05-09,2,7001,14935,203.4943784187371,56,1,0,0,0,0,0,0,4
2024-05-08,6,47683,62803,1468.7319030584285,248,7,4,4,1,1,1,1,4
2024-05-07,30,144253,259296,5644.616200647786,795,21,13,12,2,2,2,2,4
2024-05-06,35,135944,248095,5990.179191887412,763,21,9,9,4,4,1,1,4
2024-05-05,16,204009,384325,9170.730740489118,1060,25,9,8,3,3,3,3,4
2024-05-04,18,180465,345953,7957.904349639494,995,15,4,4,2,2,2,2,4
2024-05-03,13,166350,319083,7076.934975761503,881,19,5,5,3,3,1,1,4
2024-05-02,22,127526,241355,5469.201280390668,679,25,5,5,3,3,0,0,4
2024-05-01,20,141357,264065,5587.579629274333,699,29,5,3,0,0,0,0,4
2024-04-30,20,129396,240128,5686.638430406951,641,19,1,1,0,0,0,0,4
2024-04-29,31,123436,234010,5912.3473903471695,709,26,10,8,3,3,2,2,4
2024-04-28,22,125133,250381,6073.514532787937,772,20,11,10,2,2,0,0,4
2024-04-27,27,133642,268310,5560.732067922108,740,16,5,4,0,0,0,0,4
2024-04-26,13,137439,283155,5502.406317845059,744,30,6,6,3,3,1,1,4
2024-04-25,29,124455,265202,5528.463669538479,872,22,4,4,1,1,1,1,4
2024-04-24,29,108188,246559,5612.701582778848,795,21,4,4,3,3,0,0,4
2024-04-23,13,55106,99730,2294.4095126776256,314,11,3,3,1,1,0,0,4
2024-04-12,5,68626,97321,1665.2057211499907,327,4,1,1,0,0,0,0,4
2024-04-11,32,224745,439737,7394.452204987144,1351,17,6,5,2,2,1,1,4
2024-04-10,30,187127,368421,7435.341561956473,1155,21,16,16,2,2,1,1,4
2024-04-09,23,199703,371372,7704.549834304147,977,14,7,7,1,1,0,0,4
2024-04-08,25,197478,385727,7889.33349874525,1037,19,11,11,2,2,1,1,4
2024-04-07,25,207104,390920,8027.327989524535,1240,29,18,17,7,7,2,2,4
2024-04-06,20,200136,369568,7548.186636618262,1212,17,3,3,2,2,0,0,4
2024-04-05,27,208902,380569,7381.23719826563,1259,16,8,8,3,3,2,2,4
2024-04-04,33,217809,398996,7420.774093950036,1368,23,8,7,2,2,0,0,4
2024-04-03,37,213269,416004,7407.073320415647,1443,25,19,18,4,4,2,2,4
2024-04-02,24,239654,457261,7521.436706951585,1818,21,9,8,0,0,0,0,4
2024-04-01,32,255672,524240,10455.408934919009,2034,37,16,15,4,4,2,2,4
2024-03-31,22,277712,549115,11347.920309667823,1411,41,11,10,2,2,0,0,4
2024-06-26,3,20454,28360,375.9872436871713,94,4,0,0,0,0,0,0,3
2024-06-25,17,112591,216851,2801.0752280977595,640,29,7,7,5,5,1,1,3
2024-06-24,19,111740,198709,2968.4724375708856,635,27,8,7,1,1,1,1,3
2024-06-23,18,109642,206655,2831.4902711509326,616,33,11,11,5,5,1,1,3
2024-06-22,14,94463,176735,2639.987550816927,556,23,9,9,3,3,0,0,3
2024-06-21,22,88398,173056,2611.496533838949,576,27,14,14,7,7,0,0,3
2024-06-20,25,84818,164746,2771.165124344998,536,41,8,8,1,1,0,0,3
2024-06-19,13,72448,149781,2662.5864748061613,510,27,11,10,5,5,1,1,3
2024-06-18,15,56226,121133,2012.0107315132593,477,22,6,6,2,2,0,0,3
2024-06-17,19,60460,137270,2123.556219645224,564,28,11,11,5,5,2,2,3
2024-06-16,25,63330,127096,2117.4410174026193,592,48,14,13,8,8,4,4,3
2024-06-15,22,48335,103023,1888.348924827689,560,40,3,3,0,0,0,0,3
2024-06-14,22,44166,104682,1823.647614245306,536,29,8,8,4,4,0,0,3
2024-06-13,20,30302,63548,1640.204311355124,448,30,1,1,0,0,0,0,3
2024-06-12,27,30508,65739,1690.054986415796,455,33,9,9,2,2,1,1,3
2024-05-31,0,11176,18548,229.65657845614015,48,1,0,0,0,0,0,0,3
2024-05-30,6,47740,89774,1911.480395375921,273,11,3,3,2,2,0,0,3
2024-05-29,13,53978,105498,2209.2308167308724,330,9,3,3,1,1,0,0,3
2024-05-28,10,50020,99547,2146.1443440886082,264,8,2,2,2,2,0,0,3
2024-05-27,10,46713,86027,2273.5384111676844,298,11,2,2,0,0,0,0,3
2024-05-26,16,45951,97057,2398.0215832954746,328,12,1,1,1,1,0,0,3
2024-05-25,8,49827,96799,2666.555414296361,282,8,3,2,1,1,2,0,3
2024-05-24,11,52109,104974,2404.5248767459357,327,29,0,0,0,0,0,0,3
2024-05-23,10,44287,97660,1990.1993745705704,292,5,2,2,1,1,1,1,3
2024-05-22,19,27865,55283,1360.393996142941,249,13,3,3,3,3,2,2,3
2024-05-21,10,26945,59104,1658.3035131334464,217,5,1,1,0,0,0,0,3
2024-05-20,18,37461,73948,2016.3496824244862,294,6,1,1,0,0,0,0,3
2024-05-19,6,36747,70429,1860.1536996325262,268,9,3,3,1,1,0,0,3
2024-05-18,18,32962,70873,1718.9504912164841,274,8,0,0,0,0,0,0,3
2024-05-17,3,17888,29501,589.6411054366687,126,3,1,1,0,0,0,0,3
2024-05-08,4,18715,33377,706.9205432458728,117,4,2,2,3,3,1,1,3
2024-05-07,9,40745,74739,1759.1246662638778,262,4,1,1,0,0,0,0,3
2024-05-06,10,36950,75504,1871.3276600603444,260,7,1,1,0,0,0,0,3
2024-05-05,10,36490,74184,1931.1107814580923,225,12,5,5,1,1,0,0,3
2024-05-04,9,32395,74405,1822.1390773895946,225,10,5,4,1,1,1,1,3
2024-05-03,8,35784,76578,1767.0056946019681,250,5,2,2,0,0,0,0,3
2024-05-02,12,34617,68564,1866.763782861752,238,8,0,0,0,0,0,0,3
2024-05-01,11,39574,74398,1711.957503281515,274,12,1,1,0,0,0,0,3
2024-04-30,9,33161,73302,1818.1589295939375,263,5,4,4,1,1,1,1,3
2024-04-29,7,31940,72381,1818.7791364762325,226,6,3,3,0,0,0,0,3
2024-04-28,7,38069,83090,1886.8822015785652,246,10,1,1,1,1,0,0,3
2024-04-27,7,35715,82595,1720.204215207929,278,5,5,5,1,1,0,0,3
2024-04-26,7,40744,90233,1836.3664225559173,260,4,2,2,0,0,0,0,3
2024-04-25,7,36116,83520,1674.4078532416997,246,8,2,2,1,1,0,0,3
2024-04-24,14,31328,75600,1884.453660696109,303,8,0,0,0,0,0,0,3
2024-04-23,5,19831,35884,840.9874825745268,177,2,0,0,0,0,0,0,3
2024-04-13,1,8912,13778,228.77682796595488,53,1,0,0,0,0,0,0,3
2024-04-12,0,15739,32440,616.0203631810718,107,4,0,0,0,0,0,0,3
2024-04-11,10,43181,92661,1721.7870100709222,303,6,2,2,1,1,0,0,3
2024-04-10,9,36354,80511,1705.0408455751246,248,2,3,3,1,1,1,1,3
2024-04-09,7,42202,77657,1889.809453671664,257,5,0,0,0,0,0,0,3
2024-04-08,12,38611,84321,1861.7292368950398,250,7,1,1,0,0,0,0,3
2024-04-07,8,39927,86407,1920.8382591095879,283,6,7,7,4,4,1,1,3
